attrib1,attrib2,attrib3,attrib4, attrib5, attrib6, attrib7, attrib8, attrib9, attrib10,Label
0.1242,0.0423,0.0341,0.4444,0.7105,0.1082,0.0553,22,-0.0164,145,1
249,0.2336,0.0375,0.2834,0.6084,0.5383,0.0655,0.1565,0.3541,0.4696,1
0.2551,0.0908,0.0515,0.1657,231,0.1491,0.0275,0.1486,0.1557,0.2527,0
0.1009,0.1361,0.1941,0.1986,0.4739,38,0.0584,0.0496,0.0833,0.1745,1
0.0485,0.0678,0.1134,197,0.3859,0.0375,0.0499,0.0051,0.0807,0.1584,1
0.2501,0.1095,0.0623,0.1847,307,0.1336,0.0595,0.1481,167,0.2714,0
0.2419,0.2035,57,0.4045,456,0.2043,0.0877,0.0766,0.2963,877,1
0.1211,0.0726,0.0417,0.4359,0.3247,0.0972,0.0621,0.0209,0.0069,0.1411,1
0.0963,0.0409,0.0246,0.4354,0.2801,0.0795,0.0669,37,0.0058,0.1688,1
0.1257,0.0984,0.0813,0.2205,0.5109,33,0.0346,0.0235,0.0715,0.1863,1
0.2984,0.2399,0.0744,0.8843,0.8918,0.1776,0.0769,0.0729,0.3093,0.8002,1
0.2374,0.1085,0.0354,0.1253,0.2205,0.1616,0.0175,0.1602,129,0.2643,0
0.2139,0.2309,0.0407,0.4977,0.5461,0.1982,0.0634,56,252,0.5361,1
0.0941,0.0496,0.0715,0.2118,0.4323,0.0599,0.0288,4,0.1073,0.1631,1
229,0.1035,0.0254,0.1802,0.2033,0.1542,-0.0013,0.1106,0.1077,0.2751,0
0.0371,0.0805,0.0132,0.3929,0.2555,65,0.0558,0.0243,0.0433,0.1638,1
0.1957,0.1869,0.0338,0.3027,0.4447,0.1903,0.0582,0.0626,0.2731,562,1
0.0311,0.0354,0.0689,0.2289,0.4049,0.0351,0.0104,0.0235,0.1326,0.1674,1
0.0852,61,0.0124,0.3657,0.3047,0.0921,0.0608,0.0088,0.0055,0.1192,1
0.1464,1.34,0.0404,0.1515,0.2212,0.1331,0.0093,0.1267,0.1391,311,0
0.0482,0.0612,158,0.3776,0.3197,43,0.0676,0.0362,0.1013,0.4081,1
0.0841,42,0.0256,0.2787,0.2429,0.0763,0.0336,-0.0013,0.0172,0.1028,1
0.2604,0.1037,0.1064,0.1647,0.1888,0.1011,0.0056,0.0848,0.1457,0.2614,0
0.2171,0.2114,62,0.2169,0.4513,0.1549,0.0674,0.0222,0.2354,0.7498,1
0.2511,0.1275,65,0.1771,0.2152,0.1478,0.0151,0.1581,0.2219,0.3242,0
0.3425,0.3048,0.0613,0.2277,0.4244,0.2035,0.0671,0.0431,0.2135,0.7902,1
0.0711,1063,0.1741,1.0485,0.8204,0.2316,0.0576,27,0.0873,468,1
0.0762,0.0581,18,0.2517,0.2558,43,0.0508,0.0262,0.0161,0.1089,1
0.1376,4,0.1142,0.1859,0.3743,-0.0227,65,-0.0517,0.0554,0.1613,1
0.0572,0.0763,0.0296,0.2626,0.2603,0.0642,0.0595,0.0249,0.0098,0.1318,1
0.2625,0.1222,0.0589,0.1868,0.2101,0.1431,0.0146,0.1286,0.2605,0.2883,0
0.2002,0.2404,0.0306,0.2116,0.4099,0.1565,0.0531,0.0774,0.2227,0.6538,1
0.2329,0.1206,0.08,0.1784,216,0.1046,0.0085,151,0.1776,0.2656,0
0.0247,0.0509,0.4188,0.2534,0.3909,-0.0644,0.0608,-0.0414,0.0992,0.1758,1
0.1058,0.0863,0.0251,0.3056,0.2614,0.0805,0.0494,0.0373,-0.0151,0.0954,1
0.3512,0.2243,0.0615,0.2108,0.3896,0.3771,0.0294,0.0824,0.1921,0.5548,1
0.0677,0.0707,0.1145,0.1345,0.3875,337,0.1032,143,0.0981,0.1357,1
0.2311,0.0932,0.0312,0.1974,0.1954,0.1144,0.0059,132,0.1195,0.3691,0
0.6111,0.3141,0.0998,0.3211,0.4408,0.1821,0.0753,0.0302,0.2834,0.8657,1
0.1097,0.0808,0.0193,0.3095,0.3281,0.1122,0.0993,0.0093,0.0016,0.1255,1
0.2469,0.0966,0.0441,156,0.1782,0.1365,0.0286,0.1325,0.0913,0.2733,0
0.1617,0.0599,0.0206,0.2269,0.3046,0.1394,1.3145,18,-0.0265,0.13,1
0.0551,0.0942,0.0488,0.2394,0.3218,0.0195,0.7153,0.0533,0.1838,0.3596,1
0.2337,0.1789,0.0584,0.4702,0.3711,0.2072,0.0473,0.0521,0.2525,0.7778,1
0.2453,0.1185,85,0.1855,0.2014,0.1056,0.0022,0.1523,147,0.3052,0
0.3158,0.0871,0.0729,0.7988,0.4205,0.1597,0.0666,0.0307,0.2713,0.6614,1
0.0759,0.0359,0.0401,192,0.5093,0.1013,1.2118,0.2506,0.1619,0.3548,1
0.0997,0.0399,0.0114,0.2325,221,0.0607,0.0666,18,-0.0035,0.1049,1
0.0474,75,0.0452,0.2116,0.2392,0.0438,0.0624,0.0159,-0.0204,115,1
0.2435,0.1787,0.0499,0.2533,0.4418,0.1808,0.0777,0.0399,0.2731,0.5403,1
0.2321,0.0998,0.0531,0.1467,0.1858,0.1267,0.0083,0.1241,256,0.4073,0
0.1843,43,0.0536,0.2558,0.3864,0.0501,0.4167,0.0278,0.0839,0.1357,1
0.0773,0.0781,0.0309,1.0669,0.3052,0.0723,0.0692,0.0098,0.0071,0.1506,1
0.4942,0.2317,0.0647,243,0.3949,0.1475,0.0563,0.0766,0.2488,724,1
0.2351,0.1093,0.0473,0.1544,0.1803,0.1294,0.0125,137,0.1734,0.2947,0
0.1618,0.0151,0.0755,207,0.3999,0.0222,46,-0.0229,0.1044,0.2085,1
0.2796,114,0.0776,0.1454,0.1706,0.0867,0.0265,0.1127,0.0591,0.3873,0
0.0619,66,0.0306,1.0761,0.3772,251,0.1745,0.0692,-0.0011,0.1456,1
0.03,0.0528,0.1108,0.1276,0.2973,-0.0014,0.0373,-0.0287,0.0678,175,1
0.1984,0.2014,0.0317,0.2494,0.4392,0.1549,0.0439,0.0616,223,0.6522,1
0.2622,0.1829,0.0417,228,0.4603,0.1613,0.0571,0.0418,0.2177,0.5055,1
-0.0065,0.0483,0.0551,0.1535,0.3595,-0.0132,0.0433,0.0212,0.1089,0.1737,1
0.0662,0.0573,0.0346,0.2562,0.3002,109,0.0523,0.0257,-0.0204,0.3334,1
234,0.1135,0.0993,147,0.1621,0.1154,0.0146,0.1465,0.1546,0.4857,0
78,0.0615,0.0285,0.3858,0.1898,0.08,0.0579,36,-0.0146,0.13,1
0.0888,42,0.1372,0.1311,0.3564,0.0633,0.0407,-15,0.1735,0.1457,1
0.2446,76,0.4938,0.3153,0.2041,0.1328,0.0149,0.1439,0.2156,0.4079,0
0.2358,0.1502,0.0557,0.2575,0.4289,0.1402,0.0492,0.0402,0.2824,0.5783,1
0.3248,228,0.0594,0.3182,0.4534,0.1544,0.0434,0.0592,0.2407,0.7258,1
0.1118,51,0.0341,0.2974,0.2386,0.0626,0.0655,0.0175,-0.0133,0.2464,1
0.1853,0.0694,0.0615,0.1595,0.4585,0.0341,0.0623,-0.0063,72,0.1565,1
0.22,0.1,0.0731,0.1462,164,137,0.0012,0.1431,0.0786,0.4569,0
0.0799,0.0597,0.0217,0.3151,0.2482,0.0644,0.0289,0.0191,-0.0032,0.2284,1
0.2802,0.1314,0.1916,0.1953,0.1914,0.1288,0.0442,131,0.1528,568,0
0.0619,0.0958,0.0654,0.1688,0.4927,0.0122,0.0394,-0.0488,0.0488,0.4398,1
0.2081,0.2214,0.0272,0.2792,0.6896,0.1673,0.0481,0.1325,0.2246,0.5638,1
0.2192,0.1198,0.0718,0.2795,0.5168,0.0913,0.0526,0.1642,0.1979,392,0
0.0996,57,0.0839,0.1537,0.3539,653,0.1322,-0.0185,0.0559,179,1
0.1068,0.0639,0.0056,0.3351,0.3381,0.1122,0.0553,0.0075,-0.0257,0.1329,1
0.2628,0.1808,0.0256,0.2135,0.3994,151,0.0458,0.0275,0.2792,358,1
0.0815,0.0639,0.0103,0.2839,0.2429,0.0747,0.0339,0.0402,-0.0331,0.1614,1
49,0.0588,0.1308,0.3518,0.4848,52,0.0291,-0.0462,0.0744,0.1547,1
244,108,0.0776,0.4457,0.8625,0.1566,0.0254,0.1684,0.4106,0.2984,0
0.5211,0.1745,0.0423,0.2172,0.3996,0.1491,0.0558,0.0507,0.2465,0.6147,1
0.2525,0.0824,0.0663,0.1697,0.1711,0.1618,0.0413,0.1275,0.3457,0.3643,0
0.4707,0.2702,0.0399,271,389,0.1684,0.0318,0.0586,233,549,1
124,0.0496,0.0198,0.3467,241,0.0755,0.0405,0.0143,-0.0175,0.1448,1
0.0366,0.2933,0.0966,0.4446,0.3849,-0.0024,-0.0037,-0.0082,0.0425,0.1726,1
0.2079,0.1534,0.0296,0.2831,0.3571,0.1753,0.0418,0.0468,0.2214,619,1
0.0838,0.1981,0.1245,0.1814,0.4447,0.6609,0.1098,-0.0208,0.0628,0.1552,1
0.2435,0.1135,0.0729,0.1755,0.2223,0.1402,0.0291,0.1584,0.4573,0.3028,0
0.1139,0.0349,0.0293,299,0.2753,0.0623,0.0629,0.0075,0.0021,169,1
0.3248,0.1538,0.1306,0.2547,0.3487,-0.0061,8,-0.0448,53,0.2436,1
0.2113,0.1051,0.0692,0.2003,0.2241,0.1824,0.0191,0.1394,0.2747,0.3651,0
0.1116,0.0528,0.0246,0.6927,335,0.2151,0.0711,0.0053,-0.0346,0.1321,1
0.5298,0.1436,0.0552,0.2214,0.3869,0.1534,0.0442,0.0441,0.2071,591,1
0.2467,0.1676,46,0.2507,0.4368,0.1412,0.0307,0.0457,0.2795,0.6897,1
0.2511,0.1172,0.07,0.2618,0.2461,0.1555,0.0278,0.1315,0.3562,0.4042,0
0.2824,0.0293,0.0715,0.3905,0.3334,-0.0061,0.0468,-0.0264,0.0464,0.5537,1
0.0868,0.0602,0.0433,0.3977,0.3822,0.1246,0.0608,3,-0.0154,0.1363,1
0.1915,0.1618,0.0201,0.2478,0.3363,0.1586,0.0344,0.0468,0.2396,0.6401,1
0.1476,0.0246,0.0559,0.1925,0.3617,0.0649,0.0054,-0.0575,0.0609,0.1333,1
0.2522,0.0581,0.09,0.4045,345,0.1584,0.0777,0.4574,0.2855,0.2466,0
0.1453,0.0541,0.0328,1.0369,0.5482,0.5872,0.1138,0.0312,-0.0222,168,1
0.0926,61,0.0148,0.3531,0.2458,0.0908,0.0476,9,0.0116,0.1606,1
0.0168,0.0562,0.0631,154,0.3487,0.2202,0.0428,-0.0314,0.0087,0.1518,1
0.2725,0.1621,0.1296,0.1676,0.1816,0.1305,-0.0063,0.1349,0.2887,0.2432,0
0.2847,0.1795,0.0359,0.4085,0.3816,0.1621,13,0.0718,0.2721,0.6213,1
0.0912,0.0626,0.0454,0.4502,0.2531,0.0795,0.0655,0.0098,-3,0.1614,1
0.0553,0.0343,0.09,0.2183,0.3152,-0.0623,0.0317,-0.0506,0.0538,0.1383,1
0.2372,0.1114,0.0628,0.2058,0.2313,0.1539,0.4711,0.1742,0.2404,0.2788,0
0.1868,0.2109,0.0151,0.3475,346,0.1636,0.0349,0.0961,0.2235,0.4876,1
158,0.2631,0.0781,0.4357,458,0.1446,0.0706,0.0138,-0.0172,0.1297,1
0.2211,0.0613,0.0557,0.1742,0.1658,0.1504,0.0827,193,0.2713,0.2836,0
0.2697,-0.0135,0.0786,0.2028,0.5207,0.1767,0.0605,0.1008,0.1469,237,1
0.4644,0.18,0.0475,0.2483,0.3775,156,0.0513,0.0352,243,554,1
0.2435,0.0929,0.0692,0.1586,0.2381,0.1265,0.0914,0.2138,0.1443,0.2633,0
0.2126,0.1795,0.0483,0.4388,0.3835,0.1407,0.0426,0.0853,0.2106,0.5482,1
0.0796,0.0074,53,0.1316,0.2931,-0.0341,0.0399,-0.0768,0.0533,171,1
0.0767,0.0478,0.0227,0.2882,0.2421,0.0768,0.0553,0.0138,-0.0162,0.1332,1
0.1522,0.0805,0.0077,0.3351,0.3183,0.0826,0.0355,0.0151,-0.0185,0.1395,1
294,0.0578,0.0944,0.1801,0.4555,0.7292,0.0536,-0.0525,0.0433,0.4999,1
0.2567,128,0.1404,0.1726,0.2188,0.1164,0.0442,0.3706,0.1747,0.2052,0
0.2271,175,0.0449,0.3314,0.3962,0.1594,0.0365,0.0613,0.2013,0.4754,1
0.3185,0.0467,0.2007,0.1498,0.6984,0.0778,-0.0013,-0.0788,0.0527,0.2161,1
0.2279,0.0866,0.0758,0.1921,0.2025,165,0.0262,0.1597,0.2913,0.2237,0
0.1992,0.2183,0.0169,0.2707,0.3159,0.1705,26,0.0423,0.19,0.4651,1
0.1467,0.0673,0.0217,0.3773,0.2822,0.0623,0.0608,0.0304,-0.0177,0.1471,1
0.1364,71,0.0312,0.3293,0.2941,0.0813,0.0703,0.0291,-0.0064,0.1799,1
0.1973,175,0.0246,0.5175,0.3743,0.1687,45,0.0676,0.2341,0.5424,1
0.0268,0.0525,0.0826,0.1287,0.3123,-0.0449,0.0684,-0.0688,111,0.3638,1
0.2422,0.0826,0.0597,0.4093,0.1935,0.1887,0.1128,0.1441,0.1496,0.2445,0
0.2269,0.1388,0.0275,0.2705,0.4144,0.1267,0.0275,0.0626,0.2813,0.5081,1
0.2583,0.0853,0.0407,0.1546,0.1761,0.1481,0.0341,0.1515,176,245,0
129,0.4792,66,0.4388,264,0.0853,0.0349,0.0209,-0.0254,0.2701,1
0.0242,0.0346,0.1219,0.1543,0.3853,77,0.3387,-34,0.1464,363,1
0.0773,0.0747,-0.0024,0.4636,0.3756,0.1114,0.0476,0.0082,0.0021,0.3994,1
0.2517,0.0958,65,0.2343,0.5025,0.1291,0.0236,0.1642,0.2425,0.2392,0
0.0492,0.0351,0.0842,0.2218,0.5652,42,0.0117,-0.0889,0.0652,0.4651,1
0.2042,0.2135,13,0.3375,0.4582,0.1621,0.0439,36,213,0.5176,1
0.2108,0.1573,24,0.3069,0.3434,0.1518,0.0085,0.0798,0.7816,0.3852,1
0.0498,0.0702,0.0348,0.1627,0.4204,0.0873,18,-0.0564,0.0633,0.2175,1
0.2042,0.0739,0.0262,0.2098,0.2668,0.1499,32,0.1346,0.0995,0.2337,0
0.1253,0.0607,0.0225,0.6824,0.3196,0.1333,279,0.0462,0.0021,0.1669,1
0.2482,0.1824,0.0275,0.3243,0.3347,0.1779,0.0122,93,0.2296,0.5311,1
0.2626,-0.0306,58,0.1055,0.5262,5,-24,-0.0649,0.0865,0.1998,1
0.1469,0.0729,0.0494,0.3584,0.2202,0.0734,0.0933,0.0418,-0.0283,0.1506,1
0.2596,95,0.0589,0.2449,0.5543,0.1626,0.0339,0.1547,0.2499,244,0
0.2303,109,0.0433,0.1742,0.1845,0.1235,0.0186,0.1075,0.0747,0.2743,0
0.0835,0.2553,0.1306,0.2387,0.3421,-0.0077,0.0542,-0.0546,73,0.2066,1
0.0897,0.0673,0.0425,0.3948,0.2471,0.0755,0.0732,37,-0.0138,0.2084,1
0.2153,165,0.0206,0.8402,0.3972,0.1544,0.0138,0.0871,0.2135,0.8443,1
0.0815,0.0591,0.0417,0.3689,0.2957,0.1183,0.0452,61,0.0649,0.1593,1
0.5098,0.0486,0.2489,0.8629,0.3167,0.2207,112,1.0477,0.0623,0.1986,0
0.2572,0.27,0.1568,0.3056,0.9773,0.1935,0.0822,0.0563,0.1976,0.6385,1
0.3657,0.0675,0.0501,0.2268,0.4634,0.1633,0.0631,0.0291,0.1068,0.2098,1
0.6098,0.0737,0.1299,0.3074,0.3814,0.1389,0.0297,0.1032,0.1182,245,0
0.2242,0.1504,0.0467,362,0.3807,137,0.0473,0.0381,156,0.6079,1
0.2882,0.0148,0.0264,0.2038,0.9278,0.7392,0.0048,-0.0032,0.1543,0.1837,1
0.0841,0.0486,0.0494,775,0.2833,0.1301,0.0613,0.0505,0.0776,0.1614,1
0.1522,0.0591,0.0449,0.1702,0.2903,0.5909,0.0463,0.2544,0.1124,0.1891,0
0.3356,0.2362,0.0871,0.5552,1.3612,0.1842,0.0539,0.1877,0.2145,0.6868,1
0.1084,0.0628,0.0285,0.3438,0.2917,0.1095,0.0479,42,0.0581,0.1551,1
0.0384,0.0206,29,0.1458,3.5479,0.2281,-0.0042,-0.0253,0.0963,0.2254,1
1152,0.0573,0.0799,0.6244,0.5515,167,0.2773,0.1063,0.1603,1.0057,1
0.0854,0.0615,57,0.4151,0.2835,0.0934,0.0539,0.0249,0.0119,0.1456,1
0.1456,0.1003,0.0729,0.6586,0.2484,0.1763,0.0798,0.2067,0.1449,0.2158,0
0.3031,0.2082,52,0.2781,0.4129,0.2027,0.0539,0.0502,0.1681,0.4907,1
0.1208,0.1243,0.0652,0.4238,0.2869,0.1227,0.0774,0.0423,0.0137,0.1342,1
275,0.0409,-0.0103,0.1253,0.4829,71,37,-0.0034,0.1015,0.3657,1
604,0.3829,0.0744,0.2272,0.4349,137,0.0231,0.0779,238,0.5461,1
0.1799,0.0797,51,0.2892,0.3009,0.1217,0.0157,0.1125,0.1143,206,0
0.1469,0.0555,18,129,0.3223,0.1059,0.0458,0.1199,0.1253,0.2258,0
-0.0062,0.0668,-0.0014,0.1424,0.4052,0.0583,0.0702,-0.0092,0.0955,0.1468,1
0.4623,0.1251,0.0333,0.3264,0.4088,0.2196,0.0481,0.0827,223,0.5907,1
0.1248,0.0808,0.0198,0.3449,0.2933,0.1285,0.0476,0.0441,0.0203,0.1274,1
0.0485,0.0576,0.0679,0.1612,458,0.1615,0.0297,0.1434,0.1454,0.2794,0
0.2366,0.1692,0.0267,0.5998,0.3363,123,0.0774,0.1259,0.2153,1.1003,1
-0.0088,0.4096,0.0641,0.2231,0.3469,0.0393,0.0557,0.3276,0.1205,0.3514,1
0.0989,0.0837,0.0341,0.3478,254,0.0826,0.0431,0.0439,9,0.1128,1
0.1458,0.0433,0.0422,669,1.8608,0.3537,0.3139,0.0354,0.0818,0.4529,1
0.1224,0.0494,0.0496,0.1161,0.3025,127,0.0523,98,0.1217,225,0
0.0973,0.0692,0.0148,0.2628,0.2352,65,0.0109,0.0497,0.0193,0.1448,1
0.3477,0.1549,0.0156,0.2254,0.5208,0.1961,0.0434,0.0494,175,501,1
0.2303,0.0977,32,0.4169,0.3225,0.1512,0.0275,0.0621,0.1589,0.6198,1
0.1076,0.0639,0.0161,0.2438,0.2716,0.1119,0.0418,0.0943,0.1399,0.1891,0
0.0042,0.0277,-0.0058,0.1656,2.5086,0.3695,0.0077,-0.0559,0.0744,0.1671,1
0.1319,0.0555,0.0372,0.8352,0.9031,119,0.0518,0.0272,-0.0069,0.1471,1
0.0595,53,0.0198,0.1917,1.0831,0.2498,0.08,162,0.0498,0.1125,1
0.0664,0.0433,0.0304,0.5162,0.3611,0.1687,0.0595,0.0415,0.0074,0.1313,1
0.1005,76,0.0177,0.1246,0.2688,0.1632,0.0033,0.1328,0.1224,258,0
0.4359,0.1423,0.0246,0.3338,0.4046,0.1494,0.0555,0.0331,0.1852,0.3678,1
1.2058,0.0894,86,0.2202,0.7556,0.1306,0.0054,-0.0285,0.0433,0.1085,1
0.1453,0.1528,0.0314,338,1.0509,0.1475,0.0516,0.0753,0.1831,0.5382,1
0.1079,0.0362,0.0248,0.2963,221,0.1563,0.0655,0.0542,0.0211,0.1477,1
0.1493,0.0496,0.0341,0.4826,0.2991,0.1666,0.0539,0.1085,0.1499,216,0
0.1754,0.1483,0.0262,0.2953,0.9823,0.1784,0.0732,0.0439,0.1897,0.5907,1
0.1211,0.0634,0.0853,0.8069,0.2259,0.1074,0.0315,0.0837,0.1069,0.2553,0
74,0.0625,0.0108,0.1899,1.6457,0.2448,0.0333,0.0243,0.0488,0.1602,1
0.0667,0.0607,0.0182,0.2615,0.2094,0.1035,0.0692,0.0494,-0.0135,0.1379,1
0.1121,0.0386,0.0272,0.2438,0.2186,0.0729,0.0795,37,-0.0104,164,1
737,0.0095,0.1767,0.3481,0.5346,0.2321,0.1728,0.0837,0.2576,0.2117,1
0.1369,0.9273,0.2499,0.1523,0.2598,0.1017,0.0489,0.0837,0.1549,0.2158,0
177,0.1747,0.0314,0.2544,0.3832,0.1307,0.0283,0.0565,0.1842,0.6807,1
0.4,0.0916,0.0367,0.3364,0.2698,0.4795,0.1022,-0.0029,-0.0172,0.1437,1
0.1063,0.0776,0.0304,0.2227,0.2555,0.1285,0.0384,0.1125,152,0.2796,0
0.2409,0.1198,0.0367,0.6842,0.3572,0.1431,0.0497,0.0449,218,2.4513,1
0.1779,53,0.0108,0.1545,0.4827,0.1219,0.0085,-14,0.0454,0.1618,1
0.1517,0.1016,0.1161,0.8856,0.2136,0.1302,0.0041,0.1059,0.0903,0.2115,0
0.1269,0.1539,8,0.2713,0.3692,0.1423,0.0252,66,0.2639,1.0855,1
0.0875,0.0555,0.0206,0.6206,0.3355,0.1111,0.0661,0.0024,-0.0046,0.1601,1
0.0485,0.0438,0.0512,0.1453,0.4107,0.4803,0.0597,0.0562,0.0575,0.1202,1
0.0976,0.0626,0.0177,0.2974,0.1882,0.0681,65,0.0183,-0.0201,0.1379,1
0.1145,0.2544,0.0876,0.2085,0.2762,0.1373,0.0502,0.0866,0.1304,0.1817,0
0.1926,0.1834,0.0504,0.1874,0.3387,0.1209,0.0534,0.0547,0.2182,0.6058,1
0.0416,0.2134,0.0631,0.3014,0.5444,0.2527,0.0961,0.2079,0.1471,0.1563,1
0.1854,0.1243,0.0467,0.3272,0.3025,0.1357,18,0.0692,0.2868,0.9338,1
0.0997,0.0578,0.0188,0.2858,0.1993,0.0929,0.0429,0.0336,-0.0148,0.1865,1
0.1302,0.0467,0.0683,0.1996,0.5067,0.1187,-25,42,0.0472,0.2417,1
0.1416,1.2086,108,0.2401,0.3215,0.1286,0.0083,117,0.0892,0.2896,0
0.0405,0.0066,0.0037,0.1205,0.8806,0.2305,1.5868,168,0.0955,113,1
0.1873,0.1227,0.0296,0.2575,0.2999,0.1613,0.0207,0.0798,0.2277,0.5234,1
0.0746,0.0634,0.0043,0.2301,0.3487,0.1011,0.0795,0.0267,-0.0051,0.1311,1
0.1026,0.0631,71,0.1219,0.2054,0.1061,0.0202,0.1777,0.2317,0.2398,0
0.1794,0.1243,0.0291,385,0.3909,132,0.0497,0.0547,0.2045,0.3823,1
68,0.0752,18,0.2779,0.2479,0.1473,0.0653,23,-0.0172,0.1664,1
0.5367,0.0618,0.0792,0.1296,0.2521,0.1241,0.0202,0.1054,0.1013,0.2231,0
0.0598,0.0029,57,0.1392,0.5457,0.0805,32,-0.0045,0.0955,0.2578,1
0.2124,0.1246,0.0341,0.2731,0.3381,0.1122,0.0297,0.0597,0.1966,0.5258,1
0.0963,0.0425,0.0523,333,0.2302,0.0993,0.0471,0.0048,-13,0.1817,1
0.0379,0.0409,0.0275,197,0.5462,0.1103,152,215,0.1938,0.1318,1
0.1055,0.0863,0.0378,137,0.2112,0.1252,0.0933,0.0631,0.1085,0.2379,0
0.1445,0.1341,0.0388,0.4425,0.3033,0.1539,0.0265,0.0581,0.2066,0.6242,1
0.0791,0.0655,0.0066,0.2752,0.2482,0.0987,0.0716,0.0188,-0.0196,0.1311,1
